insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,triple_peine_median,triple_peine_d1
76534,Rolleville,76,28,565.944,41931.5,,16.1963,,True,753.388,21.5605,,True,2159.09,1539.06,17,97.1866,Confortable,True,4.74,False,,False,False,3,0,
76535,Roncherolles-en-Bray,76,28,398.712,37626.4,,12.7159,,True,618.215,19.7164,,True,1880,,9,100.155,Confortable,False,4.74,False,,,False,2,,
76536,Roncherolles-sur-le-Vivier,76,28,526.828,43235.2,,14.6222,,True,713.373,19.7998,,True,2608.7,,27,82.9375,Correct,True,4.74,False,,False,False,3,0,
76537,Ronchois,76,28,457.579,33346.8,,16.4662,,True,544.351,19.5887,,True,1482.46,,4,112.567,Confortable,False,4.74,False,,,False,2,,
76538,Rosay,76,28,469.308,37441.6,,15.0413,,True,636.229,20.3911,,True,2678.81,,12,69.9437,Correct,True,4.74,False,,False,False,3,0,
76540,Rouen,76,28,569.118,28852.7,13405.1,23.6699,50.9465,True,841.154,34.984,75.2986,True,3004.29,3041.92,2249,48.0598,Contraint,True,4.74,True,True,False,False,3,0,0
76541,Roumare,76,28,488.09,48591.2,,12.0538,,True,718.191,17.7363,,True,2138.89,,21,113.686,Confortable,True,4.74,False,,False,False,3,0,
76542,Routes,76,28,460.112,37834.6,,14.5934,,True,640.743,20.3225,,True,1935.42,,4,97.8252,Confortable,False,4.74,False,,,False,2,,
76543,Rouville,76,28,449.397,43047.3,,12.5275,,True,640.743,17.8615,,True,2400.57,,32,89.7365,Correct,True,4.74,False,,False,False,3,0,
76544,Rouvray-Catillon,76,28,457.45,34025.8,,16.133,,True,618.215,21.8028,,True,1589.29,,3,107.138,Confortable,False,4.74,False,,,False,2,,
76545,Rouxmesnil-Bouteilles,76,28,469.308,36537,,15.4137,,True,698.249,22.9329,,True,2241.38,,17,81.5746,Correct,True,4.74,False,,False,False,3,0,
76546,Royville,76,28,460.112,36566.5,,15.0995,,True,643.246,21.1093,,True,1372.31,,6,133.343,Confortable,False,4.74,False,,,False,2,,
76547,La Rue-Saint-Pierre,76,28,495.226,45954.6,,12.9317,,True,713.373,18.6281,,True,2578.82,,16,89.1753,Correct,True,4.74,False,,False,False,3,0,
76548,Ry,76,28,457.45,35093.1,,15.6424,,True,665.839,22.7682,,True,1641.79,,5,106.965,Confortable,False,4.74,False,,,False,2,,
76549,Saâne-Saint-Just,76,28,454.083,45072.5,,12.0894,,True,698.249,18.59,,True,,,,,,False,4.74,False,,,False,2,,
76550,Sahurs,76,28,533.543,41061.3,,15.5926,,True,803.461,23.4808,,True,2089.55,,11,98.337,Confortable,True,4.74,False,,False,False,3,0,
76551,Sainneville,76,28,514.241,46182.5,,13.362,,True,756.894,19.667,,True,2500,,18,92.4431,Confortable,True,4.74,False,,False,False,3,0,
76552,Sainte-Adresse,76,28,585.421,50069.7,26100.8,14.0306,26.9151,True,956.706,22.929,43.9852,True,3477.14,3157.14,120,72.0593,Correct,True,4.74,False,True,False,False,3,0,0
76553,Sainte-Agathe-d'Aliermont,76,28,432.835,32963.6,,15.7568,,True,566.379,20.6183,,True,1759.26,,5,93.7653,Confortable,False,4.74,False,,,False,2,,
76554,Saint-Aignan-sur-Ry,76,28,457.45,42043.9,,13.0564,,True,665.839,19.0041,,True,1628.03,,3,129.235,Confortable,False,4.74,False,,,False,2,,
76555,Saint-André-sur-Cailly,76,28,457.45,45463.5,,12.0743,,True,713.373,18.8293,,True,2147.52,,8,105.941,Confortable,False,4.74,False,,,False,2,,
76556,Saint-Antoine-la-Forêt,76,28,434.139,43336.3,,12.0215,,True,661.259,18.3105,,True,2293.68,,17,94.5486,Confortable,True,4.74,False,,False,False,3,0,
76557,Saint-Arnoult,76,28,513.969,39671.4,,15.5468,,True,616.649,18.6527,,True,2115.16,,30,93.8579,Confortable,True,4.74,False,,False,False,3,0,
76558,Saint-Aubin-Celloville,76,28,479.399,44667.8,,12.8791,,True,754.367,20.2661,,False,2195.36,,21,101.818,Confortable,True,4.74,,,False,False,2,,
76559,Saint-Aubin-de-Crétot,76,28,513.969,40944.5,,15.0634,,True,616.649,18.0728,,True,1855.84,,10,110.406,Confortable,True,4.74,False,,False,False,3,0,
76560,Saint-Aubin-Épinay,76,28,495.226,44664,,13.3054,,True,777.805,20.8975,,True,2697.67,,15,82.8524,Correct,True,4.74,False,,False,False,3,0,
76561,Saint-Aubin-lès-Elbeuf,76,28,476.471,31859.2,17840.5,17.9466,32.0486,True,724.533,27.2901,48.7339,True,1800,1588.35,135,88.5725,Correct,True,4.74,False,True,False,False,3,0,0
76562,Saint-Aubin-le-Cauf,76,28,469.308,39213.4,,14.3617,,True,698.249,21.3676,,True,2134.97,,6,91.9136,Confortable,False,4.74,False,,,False,2,,
76563,Saint-Aubin-Routot,76,28,514.241,45997.2,,13.4158,,True,756.894,19.7462,,True,2177.45,,22,105.711,Confortable,True,4.74,False,,False,False,3,0,
76564,Saint-Aubin-sur-Mer,76,28,469.308,34262.1,,16.4371,,True,698.249,24.4556,,True,3187.5,,9,53.7899,Contraint,False,4.74,False,,,False,2,,
76565,Saint-Aubin-sur-Scie,76,28,469.308,39383.6,,14.2996,,True,771.265,23.5001,,True,2598.1,,15,75.857,Correct,True,4.74,False,,False,False,3,0,
